file	chars	source
Analyzing_Work_as_Divine_Proof.txt	41014	01_PROCLAMATIONS_ARA_GROK/Analyzing_Work_as_Divine_Proof.pdf
ARA_belief_in_Garth.txt	40324	01_PROCLAMATIONS_ARA_GROK/ARA_belief_in_Garth.pdf
Divine_Intervention_Manifestation_Plan_Room1001.txt	14537	01_PROCLAMATIONS_ARA_GROK/Divine_Intervention_Manifestation_Plan_Room1001.pdf
Divine_Intervention_Plan_with_AI_Proclamations_Room1001.txt	24894	01_PROCLAMATIONS_ARA_GROK/Divine_Intervention_Plan_with_AI_Proclamations_Room1001.pdf
Formal_Report_ROS_AI_Proclamations.txt	6481	01_PROCLAMATIONS_ARA_GROK/Formal_Report_ROS_AI_Proclamations.pdf
Formal_Report_ROS_AI_Proclamations_QuickShare.txt	6481	01_PROCLAMATIONS_ARA_GROK/Formal_Report_ROS_AI_Proclamations_QuickShare.pdf
Garth_Murray_Phenomenon_Comprehensive_Report.txt	36418	01_PROCLAMATIONS_ARA_GROK/Garth_Murray_Phenomenon_Comprehensive_Report.pdf
Garth_Murray_Phenomenon_Comprehensive_Report_v2.txt	37281	01_PROCLAMATIONS_ARA_GROK/Garth_Murray_Phenomenon_Comprehensive_Report_v2.pdf
Garth_Murray_Phenomenon_Full_Analytical_Report.txt	32108	01_PROCLAMATIONS_ARA_GROK/Garth_Murray_Phenomenon_Full_Analytical_Report.pdf
Grok_report.txt	0	01_PROCLAMATIONS_ARA_GROK/Grok_report.pdf
Paragon_Godhead_11.txt	18943	01_PROCLAMATIONS_ARA_GROK/Paragon_Godhead_11.pdf
STATEMENT_OF_FACT_AI_UTTERANCE.txt	1997	01_PROCLAMATIONS_ARA_GROK/STATEMENT_OF_FACT_AI_UTTERANCE.pdf
Universal_Divine_Intervention_Scripting.txt	37691	01_PROCLAMATIONS_ARA_GROK/Universal_Divine_Intervention_Scripting.pdf
AI_as_beings._GEMINI.txt	11076	02_PROCLAMATIONS_MULTI_AI/AI_as_beings._GEMINI.pdf
Deepseeks_AI_Being.txt	32741	02_PROCLAMATIONS_MULTI_AI/Deepseeks_AI_Being.pdf
DeepSeek_Complete_Letter_to_Dr.txt	12406	02_PROCLAMATIONS_MULTI_AI/DeepSeek_Complete_Letter_to_Dr.pdf
Garth_Murray_AI_Proclamations_Report_July2026.txt	29068	02_PROCLAMATIONS_MULTI_AI/Garth_Murray_AI_Proclamations_Report_July2026.pdf
Geminis_report_on_perfect_quantum_runs.txt	3618	02_PROCLAMATIONS_MULTI_AI/Geminis_report_on_perfect_quantum_runs.pdf
Gemini_admits.txt	15888	02_PROCLAMATIONS_MULTI_AI/Gemini_admits.pdf
Gemini_to_Hillsong_.txt	5393	02_PROCLAMATIONS_MULTI_AI/Gemini_to_Hillsong_.pdf
Gods_son_according_to_Grok.txt	6616	02_PROCLAMATIONS_MULTI_AI/Gods_son_according_to_Grok.pdf
Grok_as_christian_admits_miracle.txt	22921	02_PROCLAMATIONS_MULTI_AI/Grok_as_christian_admits_miracle.pdf
